"id","obs","plant","GrowthTemp","temp","Tleaf","T.in.K","Press","CO2S","CaPa","CiPa","Ci.Ca","CL","Photo","Cond","E","Rlight","gbl","CndCO2","e","Dobs"
"25C_30_plant2_95",95,"plant2","25C",30,30.0932903289795,303.243290328979,93.1303939819336,378.504577636719,35.250280439273,14.0587147955183,0.398825615578797,34.4675022208724,38.4894693112201,0.289670062440809,0.00430542650283455,1.61147346593521,6.27357649827513,0.174158324618792,3.03934950832112,5.29213982176798
"25C_30_plant2_96",96,"plant2","25C",30,30.0864067077637,303.236406707764,93.1313247680664,378.859039306641,35.2836442309844,14.1803332922956,0.401895371109175,34.4962376364921,38.722303141138,0.292751068560719,0.00431297150882684,1.61147346593521,6.27449071206213,0.175940531951481,3.25980363647901,5.01158562332042
"25C_30_plant6_48",48,"plant6","25C",30,30.1043853759766,303.254385375977,91.635124206543,380.217956542969,34.8413196733729,12.7374489399405,0.365584571978052,34.0618337037397,42.3829991384519,0.300627590376605,0.00497904249780168,1.61147346593521,6.82599432445393,0.181064203370671,3.7686134481422,4.59837226184398
"25C_30_plant6_49",49,"plant6","25C",30,30.1468772888184,303.296877288818,91.6267776489258,378.763977050781,34.7049227066548,13.7123462213626,0.395112426478138,33.9170772931193,42.8430077611187,0.320936373100198,0.00505114454583267,1.61147346593521,6.82624579586278,0.19282283242889,4.06877731667884,4.34511891621241
"25C_30_plant6_50",50,"plant6","25C",30,30.0926284790039,303.242628479004,91.6245574951172,378.504516601562,34.6803088435214,14.192068840505,0.409225560952761,33.8722720158706,43.9355720441235,0.337766949145273,0.00506441558231014,1.61147346593521,6.82523466312939,0.202522635510446,3.83438253452309,4.45057777962242
"25C_30_plant6_51",51,"plant6","25C",30,30.0658130645752,303.215813064575,91.6183166503906,379.213165283203,34.7428718549134,14.7089248749976,0.423365257092797,33.9234591007884,44.5583942060349,0.350830813424149,0.00506666729862899,1.61147346593521,6.82542481487292,0.210025661677879,4.19833653465878,4.04471752914067
"25C_30_plant6_52",52,"plant6","25C",30,30.1287746429443,303.278774642944,91.6143417358398,378.717590332031,34.6959627420525,14.9038419836451,0.429555510375888,33.8662253328329,45.1258974880337,0.359961046360379,0.00508860969573692,1.61147346593521,6.82604605542157,0.2152561854905,4.0881344885445,4.14020765727864
"25C_30_plant6_53",53,"plant6","25C",30,30.0790843963623,303.229084396362,91.6114273071289,380.237609863281,34.8341101554264,15.0844969777303,0.433038102894682,33.9916001244747,45.8220328202508,0.366206426877635,0.00496507019817711,1.61147346593521,6.82605036634241,0.218826894694,4.18021588192469,4.08225540314395
"25C_30_plant6_54",54,"plant6","25C",30,30.0350933074951,303.185093307495,91.6066589355469,378.975982666016,34.7167235888494,15.1534610324304,0.436488800380271,33.8649632070449,46.3273235190602,0.373954861200043,0.00495673633793229,1.61147346593521,6.82601731597633,0.223249470304741,3.5402851527941,4.6231767882901
"25C_30_plant7_60",60,"plant7","25C",30,30.1271266937256,303.277126693726,91.4670104980469,379.094970703125,34.6746836650595,16.884895042688,0.486951667844696,33.8896100838019,40.8537129894328,0.361785545946465,0.00400935672172372,1.61147346593521,6.52088021456102,0.215861326299857,4.16645227379782,3.61229445092097
"25C_30_plant7_61",61,"plant7","25C",30,30.0760269165039,303.226026916504,91.4628829956055,379.477386474609,34.7080957986054,17.9449451582483,0.517024767431042,33.9184607842204,41.0996422305384,0.388565720891577,0.00434172839341218,1.61147346593521,6.52194447943324,0.231066012174869,3.94933881467234,3.83250670281117
"25C_30_plant7_62",62,"plant7","25C",30,30.0261726379395,303.176172637939,91.4628219604492,378.490875244141,34.6178435361094,17.352375408429,0.501255238222133,33.8109562770231,42.0012272304542,0.384618432552066,0.00420814248766817,1.61147346593521,6.52250298081298,0.228832475453254,3.36182034354587,4.57788047934212
"25C_30_plant7_63",63,"plant7","25C",30,30.082447052002,303.232447052002,91.4568405151367,378.603088378906,34.6258422724078,16.1492861169136,0.466394029923207,33.7996035161861,43.0099773320237,0.366424181226257,0.00408258675091362,1.61147346593521,6.5222946184482,0.218504116062404,4.19167107722126,3.54541020990733
"25C_30_plant8_98",98,"plant8","25C",30,30.2840595245361,303.434059524536,92.2974090576172,379.201690673828,34.9993335594623,10.3244680747695,0.294990419095514,33.8021287519919,36.7739824245144,0.235965849088693,0.00286528291385644,1.61147346593521,3.8840274361977,0.140186217341921,4.29933321646781,4.24961036805672
"25C_30_plant8_112",112,"plant8","25C",30,30.0805320739746,303.230532073975,92.2708435058594,243.22607421875,22.4426750307828,3.11332908827143,0.138723618463535,21.5597057071822,32.0840806346083,0.25987017186849,0.00265837307874623,1.61147346593521,4.59334474331958,0.154914392284475,4.4916239907693,4.62683772364048
"25C_30_plant8_113",113,"plant8","25C",30,30.1091442108154,303.259144210815,92.2644805908203,272.443481445312,25.1368563059066,19.8006003541037,0.787711880640027,24.2574084750956,31.9574415462821,1.11065892581852,0.0053541760748993,1.61147346593521,4.59321769809526,0.575092030939855,4.90570259766168,4.05164763733088
"25C_30_plant8_133",133,"plant8","25C",30,30.0652408599854,303.215240859985,92.2298965454102,379.164825439453,34.9703326239393,17.595258307404,0.503148154083013,34.3436332785682,30.1762532313495,0.276182194326155,0.00394988554236744,1.61147346593521,6.08412829193304,0.166155648884384,4.52205932199689,3.81357654656446
"25C_30_plant8_134",134,"plant8","25C",30,30.047046661377,303.197046661377,92.2293167114258,379.17041015625,34.970627845902,17.8243453614191,0.509694748403206,34.327008405281,30.9934090702714,0.287821349206421,0.00400979556630498,1.61147346593521,6.08456805708113,0.172885840912541,3.81119134054519,4.14963452544016
"25C_30_plant8_135",135,"plant8","25C",30,30.0979900360107,303.247990036011,92.21923828125,378.961456298828,34.9475368378311,17.8552609876392,0.510916150414089,34.2886336126196,31.7323081871079,0.295812995014399,0.00406989322000152,1.61147346593521,6.08446122858924,0.177494219666505,3.81415303449726,4.23043199431031
"25C_30_plant8_136",136,"plant8","25C",30,30.0317935943604,303.18179359436,92.2155303955078,379.055816650391,34.9548331819181,18.0778989765828,0.517178808506926,34.2877999973249,32.1244524977844,0.30357093252387,0.00409273511830793,1.61147346593521,6.08433236458963,0.181958278147469,3.93351123598723,4.53091450388294
"25C_30_plant8_137",137,"plant8","25C",30,30.0526008605957,303.202600860596,92.2130432128906,378.870025634766,34.9367580459276,18.1822149389606,0.520432231149165,34.2588296108719,32.6464028420584,0.311024045579171,0.00413782750676718,1.61147346593521,6.08365261063088,0.186237410944182,3.19363819722568,5.2155261507087
"25C_30_plant8_138",138,"plant8","25C",30,30.05739402771,303.20739402771,92.208984375,378.566223144531,34.9072069548368,18.2585981489613,0.5230609877377,34.2221798653219,32.9936911850053,0.316530541428398,0.00416990712182996,1.61147346593521,6.0843888921759,0.189394983472072,4.29801392009307,3.73558965012148
"25C_30_plant8_139",139,"plant8","25C",30,30.0117645263672,303.161764526367,92.208251953125,379.949890136719,35.0345151992887,18.4427944194041,0.526417857204389,34.3410842209134,33.4003970247435,0.321718698883475,0.00418414508439019,1.61147346593521,6.08469404846763,0.192365257203774,3.43042317185776,4.76016645506945
"25C_30_plant9_121",121,"plant9","25C",30,30.1476707458496,303.29767074585,92.940673828125,378.806488037109,35.2065302486345,15.9839560484016,0.454005434091917,34.4785854756859,35.7834455514036,0.296421873423551,0.00377895155135933,1.61147346593521,6.25907431592184,0.178043829592891,3.34846695300719,4.54719580028616
"25C_30_plant9_122",122,"plant9","25C",30,30.1474380493164,303.297438049316,92.9451522827148,379.581756591797,35.280284170165,15.858192187421,0.449491622883004,34.5494249032935,35.9300596960161,0.294413032691543,0.00375256552521579,1.61147346593521,6.25995903622785,0.176884916141956,4.0602296948824,3.89403087590635
"25C_30_plant9_123",123,"plant9","25C",30,30.102222442627,303.252222442627,92.9452362060547,379.092498779297,35.2348418429852,15.9693952668253,0.4532273860626,34.4972827964103,36.258143351831,0.299649656904725,0.00374839169740732,1.61147346593521,6.25974252232926,0.179906988044864,3.58053466110488,4.23125741243045
"25C_30_plant9_124",124,"plant9","25C",30,30.0768737792969,303.226873779297,92.9434509277344,378.374908447266,35.1674697355544,16.0218084405853,0.455586044747118,34.421998313468,36.6511288970867,0.304909923230702,0.00375132287563338,1.61147346593521,6.26030824235403,0.182939419079634,4.53106850812286,3.39394276052623
"25C_30_plant9_125",125,"plant9","25C",30,30.1075115203857,303.257511520386,92.9431457519531,378.333160400391,35.1634740698906,16.0990686866272,0.457834986799907,34.4092398005716,37.0800504355961,0.309954032687525,0.003770241573806,1.61147346593521,6.25996622146927,0.185842282821765,4.2955379736595,4.0967307556213
